time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-12T11:28:29.820Z,17.9246666666667,-67.0023333333333,6.6,2.34,md,8,243,,0.05,pr,pr71334398,2022-02-12T12:22:07.350Z,"7 km SE of La Parguera, Puerto Rico",earthquake,0.41,0.31,0.0318699761394796,4,reviewed,pr,pr
2022-02-12T11:21:56.460Z,19.4406661987305,-155.633499145508,5.38000011444092,1.85000002,md,44,70,,0.389999986,hv,hv72914322,2022-02-12T11:27:26.980Z,"24 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.57,0.870000005,1.19000006,15,automatic,hv,hv
2022-02-12T10:55:38.187Z,-18.1451,-174.3015,219.49,4.3,mb,,150,4.858,0.43,us,us7000gk93,2022-02-12T11:17:38.040Z,"65 km NNW of Neiafu, Tonga",earthquake,11.8,13.3,0.129,18,reviewed,us,us
2022-02-12T10:50:24.467Z,36.3909,71.1106,121.6,4,mb,,183,0.849,0.24,us,us7000gk91,2022-02-12T11:03:12.040Z,"49 km SW of Ashkāsham, Afghanistan",earthquake,7.1,11.8,0.299,3,reviewed,us,us
2022-02-12T10:45:20.350Z,38.7944984,-122.7623367,0.62,1.98,md,29,62,0.006452,0.04,nc,nc73691856,2022-02-12T13:08:12.110Z,"2km NNW of The Geysers, CA",earthquake,0.17,0.29,0.1,10,automatic,nc,nc
2022-02-12T10:26:43.960Z,33.5933333,-116.7295,10.18,0.97,ml,42,35,0.02861,0.19,ci,ci40183944,2022-02-12T10:30:20.879Z,"7km NW of Anza, CA",earthquake,0.22,0.4,0.158,27,automatic,ci,ci
2022-02-12T10:01:43.030Z,38.8300018,-122.8154984,2.04,0.97,md,22,48,0.007841,0.02,nc,nc73691846,2022-02-12T10:21:12.827Z,"8km NW of The Geysers, CA",earthquake,0.19,0.46,0.06,3,automatic,nc,nc
2022-02-12T09:49:37.413Z,62.9926,-150.5686,88.7,2.1,ml,,,,0.74,ak,ak0221z9renc,2022-02-12T10:02:35.474Z,"56 km N of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-02-12T09:42:52.600Z,38.864666,-122.8414993,1.44,1.1,md,19,163,0.01734,0.04,nc,nc73691841,2022-02-12T12:15:11.553Z,"11km WNW of Cobb, CA",earthquake,0.27,0.42,0.11,4,automatic,nc,nc
2022-02-12T09:39:46.340Z,36.6048317,-121.2123337,5.15,1.2,md,7,146,0.03954,0.04,nc,nc73691836,2022-02-12T11:49:10.381Z,"10km NW of Pinnacles, CA",earthquake,0.56,0.84,0.05,5,automatic,nc,nc
2022-02-12T09:30:14.763Z,64.98,-147.759,18.5,1.2,ml,,,,0.33,ak,ak0221z9naa7,2022-02-12T09:39:52.687Z,"7 km WNW of Fox, Alaska",earthquake,,0.2,,,automatic,ak,ak
